
sep=;
Interno;Fecha;Comunicación;Diferencia;Velocidad;Evento;Tipo;Responsable;Chofer;Odómetro;"Estado GPS";"Estado GPRS";"Señal GSM";Edad;Satélites;Rumbo;Ubicación;Coordenadas;Mapa;Referencia;Bateria;"Bateria Backup"
AB456RM;"2026-04-20 00:22:07";"2026-04-20 00:24:38";00:02:31;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
AB456RM;"2026-04-20 00:52:33";"2026-04-20 00:54:43";00:02:10;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
AB456RM;"2026-04-20 01:22:20";"2026-04-20 01:24:48";00:02:28;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
AB456RM;"2026-04-20 01:52:24";"2026-04-20 01:54:53";00:02:29;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
AB456RM;"2026-04-20 02:22:27";"2026-04-20 02:24:57";00:02:30;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
AB456RM;"2026-04-20 02:52:32";"2026-04-20 02:55:02";00:02:30;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
AB456RM;"2026-04-20 03:23:16";"2026-04-20 03:25:07";00:01:51;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
AB456RM;"2026-04-20 03:52:45";"2026-04-20 03:55:12";00:02:27;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
AB456RM;"2026-04-20 04:22:46";"2026-04-20 04:25:17";00:02:31;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
AB456RM;"2026-04-20 04:53:00";"2026-04-20 04:55:21";00:02:21;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
AB456RM;"2026-04-20 05:22:59";"2026-04-20 05:25:26";00:02:27;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
AB456RM;"2026-04-20 05:53:02";"2026-04-20 05:55:31";00:02:29;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
AB456RM;"2026-04-20 06:23:31";"2026-04-20 06:25:36";00:02:05;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
AB456RM;"2026-04-20 06:53:12";"2026-04-20 06:55:41";00:02:29;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
AB456RM;"2026-04-20 07:23:15";"2026-04-20 07:25:45";00:02:30;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
AB456RM;"2026-04-20 07:53:20";"2026-04-20 07:55:50";00:02:30;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
AB456RM;"2026-04-20 08:23:34";"2026-04-20 08:25:55";00:02:21;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
AB456RM;"2026-04-20 08:53:33";"2026-04-20 08:56:00";00:02:27;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
AB456RM;"2026-04-20 09:24:09";"2026-04-20 09:26:04";00:01:55;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
AB456RM;"2026-04-20 09:53:42";"2026-04-20 09:56:09";00:02:27;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
AB456RM;"2026-04-20 10:23:46";"2026-04-20 10:26:14";00:02:28;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
AB456RM;"2026-04-20 10:53:57";"2026-04-20 10:56:18";00:02:21;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
AB456RM;"2026-04-20 11:24:34";"2026-04-20 11:26:23";00:01:49;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
AB456RM;"2026-04-20 11:54:06";"2026-04-20 11:56:29";00:02:23;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
AB456RM;"2026-04-20 14:24:25";"2026-04-20 14:26:52";00:02:27;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";49465400;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.792481+-58.214528;"-34.792481 -58.214528";https://google.com/maps/?q=-34.792481,-58.214528;"[Sin referencia]";1252;83
