
sep=;
Interno;Fecha;Comunicación;Diferencia;Velocidad;Evento;Tipo;Responsable;Chofer;Odómetro;"Estado GPS";"Estado GPRS";"Señal GSM";Edad;Satélites;Rumbo;Ubicación;Coordenadas;Mapa;Referencia;Bateria;"Bateria Backup"
M0647;"2026-04-20 00:00:09";"2026-04-20 00:01:06";00:00:57;0;"Habilitación de combustible";Sensores;"Sin responsable";"NO LOG";15191561;Inactivo;Inactivo;0;9999;18;N;https://nominatim.openstreetmap.org/search.php?q=-45.79311+-67.52273;"-45.79311 -67.52273";https://google.com/maps/?q=-45.79311,-67.52273;"[Sin referencia]";1263;415
M0647;"2026-04-20 00:00:10";"2026-04-20 00:01:06";00:00:56;0;"Puerta de cabina cerrada";Sensores;"Sin responsable";"NO LOG";15191561;Inactivo;Inactivo;16;9999;18;N;https://nominatim.openstreetmap.org/search.php?q=-45.79311+-67.52273;"-45.79311 -67.52273";https://google.com/maps/?q=-45.79311,-67.52273;"[Sin referencia]";1264;415
M0647;"2026-04-20 00:00:10";"2026-04-20 00:01:07";00:00:57;0;Desenganche;Sensores;"Sin responsable";"NO LOG";15191561;Inactivo;Inactivo;16;9999;18;N;https://nominatim.openstreetmap.org/search.php?q=-45.79311+-67.52273;"-45.79311 -67.52273";https://google.com/maps/?q=-45.79311,-67.52273;"[Sin referencia]";1264;415
M0647;"2026-04-20 00:00:18";"2026-04-20 00:01:08";00:00:50;0;"Habilitación de combustible";Sensores;"Sin responsable";"NO LOG";15191561;Activo;Inactivo;0;9999;18;N;https://nominatim.openstreetmap.org/search.php?q=-45.79311+-67.52273;"-45.79311 -67.52273";https://google.com/maps/?q=-45.79311,-67.52273;"[Sin referencia]";1261;415
M0647;"2026-04-20 00:00:19";"2026-04-20 00:01:09";00:00:50;0;"Puerta de cabina cerrada";Sensores;"Sin responsable";"NO LOG";15191561;Activo;Inactivo;16;9999;18;N;https://nominatim.openstreetmap.org/search.php?q=-45.79311+-67.52273;"-45.79311 -67.52273";https://google.com/maps/?q=-45.79311,-67.52273;"[Sin referencia]";1263;415
M0647;"2026-04-20 00:00:19";"2026-04-20 00:01:24";00:01:05;0;Desenganche;Sensores;"Sin responsable";"NO LOG";15191561;Activo;Inactivo;16;9999;18;N;https://nominatim.openstreetmap.org/search.php?q=-45.79311+-67.52273;"-45.79311 -67.52273";https://google.com/maps/?q=-45.79311,-67.52273;"[Sin referencia]";1263;415
M0647;"2026-04-20 00:10:20";"2026-04-20 00:10:20";00:00:00;0;Detenido;Posición;"Sin responsable";"NO LOG";15191561;Activo;Activo;16;0000;17;N;https://nominatim.openstreetmap.org/search.php?q=-45.79313+-67.52275;"-45.79313 -67.52275";https://google.com/maps/?q=-45.79313,-67.52275;"[Sin referencia]";1262;415
M0647;"2026-04-20 00:20:20";"2026-04-20 00:20:20";00:00:00;0;Detenido;Posición;"Sin responsable";"NO LOG";15191561;Activo;Activo;17;0000;17;N;https://nominatim.openstreetmap.org/search.php?q=-45.79312+-67.52274;"-45.79312 -67.52274";https://google.com/maps/?q=-45.79312,-67.52274;"[Sin referencia]";1263;415
M0647;"2026-04-20 00:30:20";"2026-04-20 00:30:20";00:00:00;0;Detenido;Posición;"Sin responsable";"NO LOG";15191561;Activo;Activo;17;0000;15;NNO;https://nominatim.openstreetmap.org/search.php?q=-45.79307+-67.52272;"-45.79307 -67.52272";https://google.com/maps/?q=-45.79307,-67.52272;"[Sin referencia]";1261;415
M0647;"2026-04-20 00:40:20";"2026-04-20 00:40:20";00:00:00;0;Detenido;Posición;"Sin responsable";"NO LOG";15191561;Activo;Activo;17;0000;16;NNO;https://nominatim.openstreetmap.org/search.php?q=-45.79312+-67.52273;"-45.79312 -67.52273";https://google.com/maps/?q=-45.79312,-67.52273;"[Sin referencia]";1263;415
M0647;"2026-04-20 00:50:20";"2026-04-20 00:50:35";00:00:15;0;Detenido;Posición;"Sin responsable";"NO LOG";15191561;Activo;Activo;15;0000;14;NO;https://nominatim.openstreetmap.org/search.php?q=-45.79312+-67.52271;"-45.79312 -67.52271";https://google.com/maps/?q=-45.79312,-67.52271;"[Sin referencia]";1263;415
M0647;"2026-04-20 01:00:19";"2026-04-20 01:00:21";00:00:02;0;Detenido;Posición;"Sin responsable";"NO LOG";15191561;Activo;Activo;17;0000;16;N;https://nominatim.openstreetmap.org/search.php?q=-45.7931+-67.52269;"-45.7931 -67.52269";https://google.com/maps/?q=-45.7931,-67.52269;"[Sin referencia]";1262;415
M0647;"2026-04-20 01:10:18";"2026-04-20 01:11:20";00:01:02;0;Detenido;Posición;"Sin responsable";"NO LOG";15191561;Inactivo;Activo;15;0598;16;N;https://nominatim.openstreetmap.org/search.php?q=-45.7931+-67.52269;"-45.7931 -67.52269";https://google.com/maps/?q=-45.7931,-67.52269;"[Sin referencia]";1264;415
M0647;"2026-04-20 01:20:18";"2026-04-20 01:20:34";00:00:16;0;Detenido;Posición;"Sin responsable";"NO LOG";15191561;Inactivo;Activo;15;1198;16;N;https://nominatim.openstreetmap.org/search.php?q=-45.7931+-67.52269;"-45.7931 -67.52269";https://google.com/maps/?q=-45.7931,-67.52269;"[Sin referencia]";1264;414
M0647;"2026-04-20 01:30:18";"2026-04-20 01:30:34";00:00:16;0;Detenido;Posición;"Sin responsable";"NO LOG";15191561;Inactivo;Activo;17;1798;16;N;https://nominatim.openstreetmap.org/search.php?q=-45.7931+-67.52269;"-45.7931 -67.52269";https://google.com/maps/?q=-45.7931,-67.52269;"[Sin referencia]";1264;415
