
sep=;
Interno;Fecha;Comunicación;Diferencia;Velocidad;Evento;Tipo;Responsable;Chofer;Odómetro;"Estado GPS";"Estado GPRS";"Señal GSM";Edad;Satélites;Rumbo;Ubicación;Coordenadas;Mapa;Referencia;Bateria;"Bateria Backup"
C113;"2026-04-20 00:07:21";"2026-04-20 00:07:50";00:00:29;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;22;0000;21;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1230;419
C113;"2026-04-20 00:17:21";"2026-04-20 00:17:39";00:00:18;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;20;0000;22;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1230;419
C113;"2026-04-20 00:27:21";"2026-04-20 00:27:33";00:00:12;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;23;0000;18;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1230;419
C113;"2026-04-20 00:37:21";"2026-04-20 00:37:54";00:00:33;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;21;0000;22;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1230;419
C113;"2026-04-20 00:47:21";"2026-04-20 00:47:44";00:00:23;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;21;0000;20;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1230;419
C113;"2026-04-20 00:57:21";"2026-04-20 00:57:29";00:00:08;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;21;0000;21;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1230;419
C113;"2026-04-20 01:07:21";"2026-04-20 01:07:47";00:00:26;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;21;0000;21;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1229;419
C113;"2026-04-20 01:17:21";"2026-04-20 01:17:31";00:00:10;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;21;0000;22;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1230;419
C113;"2026-04-20 01:27:21";"2026-04-20 01:27:43";00:00:22;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;20;0000;21;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1230;419
C113;"2026-04-20 01:37:21";"2026-04-20 01:37:33";00:00:12;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;22;0000;23;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1230;419
C113;"2026-04-20 01:47:21";"2026-04-20 01:47:54";00:00:33;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;20;0000;23;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1230;419
C113;"2026-04-20 01:57:21";"2026-04-20 01:57:38";00:00:17;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;18;0000;24;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1230;419
C113;"2026-04-20 02:07:21";"2026-04-20 02:07:24";00:00:03;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;19;0000;22;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1230;419
C113;"2026-04-20 02:17:21";"2026-04-20 02:17:41";00:00:20;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;20;0000;23;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1230;419
C113;"2026-04-20 02:27:21";"2026-04-20 02:27:32";00:00:11;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;18;0000;23;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1230;419
C113;"2026-04-20 02:37:21";"2026-04-20 02:37:23";00:00:02;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;19;0000;22;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1230;419
C113;"2026-04-20 02:47:21";"2026-04-20 02:47:36";00:00:15;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;19;0000;22;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1230;419
C113;"2026-04-20 02:57:22";"2026-04-20 02:57:25";00:00:03;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;21;0000;21;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1230;419
C113;"2026-04-20 03:07:21";"2026-04-20 03:07:45";00:00:24;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;18;0000;20;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1230;419
C113;"2026-04-20 03:17:21";"2026-04-20 03:17:32";00:00:11;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;19;0000;18;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1229;419
C113;"2026-04-20 03:27:21";"2026-04-20 03:27:23";00:00:02;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;19;0000;18;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1230;419
C113;"2026-04-20 03:37:21";"2026-04-20 03:37:43";00:00:22;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;21;0000;21;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1228;419
C113;"2026-04-20 03:47:21";"2026-04-20 03:47:33";00:00:12;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;18;0000;22;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1230;419
C113;"2026-04-20 03:57:21";"2026-04-20 03:57:24";00:00:03;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;22;0000;20;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1230;419
C113;"2026-04-20 04:07:21";"2026-04-20 04:07:45";00:00:24;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;18;0000;21;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1229;419
C113;"2026-04-20 04:17:21";"2026-04-20 04:17:31";00:00:10;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;17;0000;19;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1230;419
C113;"2026-04-20 04:27:21";"2026-04-20 04:27:44";00:00:23;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;17;0000;22;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1230;419
C113;"2026-04-20 04:37:21";"2026-04-20 04:37:33";00:00:12;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;17;0000;21;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1229;419
C113;"2026-04-20 04:47:21";"2026-04-20 04:47:23";00:00:02;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;17;0000;21;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1229;419
C113;"2026-04-20 04:57:21";"2026-04-20 04:57:39";00:00:18;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;17;0000;21;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1229;419
C113;"2026-04-20 05:07:21";"2026-04-20 05:07:50";00:00:29;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;17;0000;20;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1229;419
C113;"2026-04-20 05:17:21";"2026-04-20 05:17:39";00:00:18;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;19;0000;20;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1228;419
C113;"2026-04-20 05:27:21";"2026-04-20 05:27:29";00:00:08;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;17;0000;21;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1228;419
C113;"2026-04-20 05:37:21";"2026-04-20 05:37:45";00:00:24;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;19;0000;19;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1228;419
C113;"2026-04-20 05:47:21";"2026-04-20 05:47:24";00:00:03;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;20;0000;18;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1229;419
C113;"2026-04-20 05:57:21";"2026-04-20 05:57:41";00:00:20;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;22;0000;18;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1228;419
C113;"2026-04-20 06:07:21";"2026-04-20 06:07:37";00:00:16;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;21;0000;20;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1228;419
C113;"2026-04-20 06:17:21";"2026-04-20 06:17:51";00:00:30;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;20;0000;21;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1229;419
C113;"2026-04-20 06:27:21";"2026-04-20 06:27:38";00:00:17;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;22;0000;22;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1228;419
C113;"2026-04-20 06:37:21";"2026-04-20 06:37:28";00:00:07;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;18;0000;18;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1229;419
C113;"2026-04-20 06:47:21";"2026-04-20 06:47:48";00:00:27;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;19;0000;19;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1228;419
C113;"2026-04-20 06:57:21";"2026-04-20 06:57:34";00:00:13;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;18;0000;20;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1228;419
C113;"2026-04-20 07:07:21";"2026-04-20 07:07:23";00:00:02;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;20;0000;18;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1182;419
C113;"2026-04-20 07:07:22";"2026-04-20 07:07:23";00:00:01;0;"En movimiento";Posición;"Sin responsable";"NO LOG";59093606;Activo;Activo;20;0000;18;SSE;https://nominatim.openstreetmap.org/search.php?q=-46.457875+-67.527385;"-46.457875 -67.527385";https://google.com/maps/?q=-46.457875,-67.527385;"[Sin referencia]";1181;419
