
sep=;
Interno;Fecha;Comunicación;Diferencia;Velocidad;Evento;Tipo;Responsable;Chofer;Odómetro;"Estado GPS";"Estado GPRS";"Señal GSM";Edad;Satélites;Rumbo;Ubicación;Coordenadas;Mapa;Referencia;Bateria;"Bateria Backup"
C109;"2026-04-20 00:00:10";"2026-04-20 00:01:06";00:00:56;0;"Habilitación de combustible";Sensores;"Sin responsable";"NO LOG";15141460;Inactivo;Inactivo;0;9999;15;E;https://nominatim.openstreetmap.org/search.php?q=-46.46011+-67.53248;"-46.46011 -67.53248";https://google.com/maps/?q=-46.46011,-67.53248;"[Sin referencia]";1245;406
C109;"2026-04-20 00:00:11";"2026-04-20 00:01:07";00:00:56;0;"Debajo 80 km/h";Posición;"Sin responsable";"NO LOG";15141460;Inactivo;Inactivo;25;9999;15;E;https://nominatim.openstreetmap.org/search.php?q=-46.46011+-67.53248;"-46.46011 -67.53248";https://google.com/maps/?q=-46.46011,-67.53248;"[Sin referencia]";1248;406
C109;"2026-04-20 00:00:11";"2026-04-20 00:01:22";00:01:11;0;"Debajo 90 Km/Hs";Posición;"Sin responsable";"NO LOG";15141460;Inactivo;Inactivo;25;9999;15;E;https://nominatim.openstreetmap.org/search.php?q=-46.46011+-67.53248;"-46.46011 -67.53248";https://google.com/maps/?q=-46.46011,-67.53248;"[Sin referencia]";1248;406
C109;"2026-04-20 00:00:11";"2026-04-20 00:01:23";00:01:12;0;"Debajo 110 Km/hs";Posición;"Sin responsable";"NO LOG";15141460;Inactivo;Inactivo;25;9999;15;E;https://nominatim.openstreetmap.org/search.php?q=-46.46011+-67.53248;"-46.46011 -67.53248";https://google.com/maps/?q=-46.46011,-67.53248;"[Sin referencia]";1248;406
C109;"2026-04-20 00:00:18";"2026-04-20 00:01:24";00:01:06;0;"Habilitación de combustible";Sensores;"Sin responsable";"NO LOG";15141460;Activo;Inactivo;0;9999;15;E;https://nominatim.openstreetmap.org/search.php?q=-46.46011+-67.53248;"-46.46011 -67.53248";https://google.com/maps/?q=-46.46011,-67.53248;"[Sin referencia]";1244;406
C109;"2026-04-20 00:00:19";"2026-04-20 00:01:25";00:01:06;0;"Debajo 80 km/h";Posición;"Sin responsable";"NO LOG";15141460;Activo;Inactivo;25;9999;15;E;https://nominatim.openstreetmap.org/search.php?q=-46.46011+-67.53248;"-46.46011 -67.53248";https://google.com/maps/?q=-46.46011,-67.53248;"[Sin referencia]";1247;406
C109;"2026-04-20 00:00:19";"2026-04-20 00:01:25";00:01:06;0;"Debajo 90 Km/Hs";Posición;"Sin responsable";"NO LOG";15141460;Activo;Inactivo;25;9999;15;E;https://nominatim.openstreetmap.org/search.php?q=-46.46011+-67.53248;"-46.46011 -67.53248";https://google.com/maps/?q=-46.46011,-67.53248;"[Sin referencia]";1247;406
C109;"2026-04-20 00:00:19";"2026-04-20 00:01:25";00:01:06;0;"Debajo 110 Km/hs";Posición;"Sin responsable";"NO LOG";15141460;Activo;Inactivo;25;9999;15;E;https://nominatim.openstreetmap.org/search.php?q=-46.46011+-67.53248;"-46.46011 -67.53248";https://google.com/maps/?q=-46.46011,-67.53248;"[Sin referencia]";1247;406
C109;"2026-04-20 00:00:42";"2026-04-20 00:01:26";00:00:44;0;"Debajo 60 Km/H";Posición;"Sin responsable";"NO LOG";15141460;Activo;Activo;25;0000;5;N;https://nominatim.openstreetmap.org/search.php?q=-46.45999+-67.53238;"-46.45999 -67.53238";https://google.com/maps/?q=-46.45999,-67.53238;"[Sin referencia]";1247;406
C109;"2026-04-20 00:10:19";"2026-04-20 00:10:34";00:00:15;0;Detenido;Posición;"Sin responsable";"NO LOG";15141460;Activo;Activo;25;0000;18;SSO;https://nominatim.openstreetmap.org/search.php?q=-46.46007+-67.53245;"-46.46007 -67.53245";https://google.com/maps/?q=-46.46007,-67.53245;"[Sin referencia]";1247;406
