
sep=;
Interno;Fecha;Comunicación;Diferencia;Velocidad;Evento;Tipo;Responsable;Chofer;Odómetro;"Estado GPS";"Estado GPRS";"Señal GSM";Edad;Satélites;Rumbo;Ubicación;Coordenadas;Mapa;Referencia;Bateria;"Bateria Backup"
AH650MQ;"2026-04-20 00:05:54";"2026-04-20 00:06:22";00:00:28;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";29229176;Activo;Activo;30;0000;19;S;https://nominatim.openstreetmap.org/search.php?q=-34.6260366+-58.5545133;"-34.6260366 -58.5545133";https://google.com/maps/?q=-34.6260366,-58.5545133;"[Sin referencia]";2582;412
AH650MQ;"2026-04-20 00:15:54";"2026-04-20 00:16:19";00:00:25;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";29229176;Activo;Activo;30;0000;21;S;https://nominatim.openstreetmap.org/search.php?q=-34.6260366+-58.5545133;"-34.6260366 -58.5545133";https://google.com/maps/?q=-34.6260366,-58.5545133;"[Sin referencia]";2581;412
AH650MQ;"2026-04-20 00:25:54";"2026-04-20 00:26:14";00:00:20;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";29229176;Activo;Activo;29;0000;21;S;https://nominatim.openstreetmap.org/search.php?q=-34.6260366+-58.5545133;"-34.6260366 -58.5545133";https://google.com/maps/?q=-34.6260366,-58.5545133;"[Sin referencia]";2581;412
AH650MQ;"2026-04-20 00:30:21";"2026-04-20 00:30:22";00:00:01;0;"En movimiento";Posición;"Sin responsable";"NO LOG";29229176;Activo;Activo;28;0000;19;S;https://nominatim.openstreetmap.org/search.php?q=-34.6260366+-58.5545133;"-34.6260366 -58.5545133";https://google.com/maps/?q=-34.6260366,-58.5545133;"[Sin referencia]";2564;412
AH650MQ;"2026-04-20 00:32:04";"2026-04-20 00:32:06";00:00:02;0;"En movimiento";Posición;"Sin responsable";"NO LOG";29229176;Activo;Activo;29;0000;19;S;https://nominatim.openstreetmap.org/search.php?q=-34.6260366+-58.5545133;"-34.6260366 -58.5545133";https://google.com/maps/?q=-34.6260366,-58.5545133;"[Sin referencia]";2568;412
AH650MQ;"2026-04-20 00:35:54";"2026-04-20 00:36:15";00:00:21;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";29229176;Activo;Activo;30;0000;21;S;https://nominatim.openstreetmap.org/search.php?q=-34.6260366+-58.5545133;"-34.6260366 -58.5545133";https://google.com/maps/?q=-34.6260366,-58.5545133;"[Sin referencia]";2577;412
AH650MQ;"2026-04-20 00:36:25";"2026-04-20 00:36:26";00:00:01;0;"En movimiento";Posición;"Sin responsable";"NO LOG";29229176;Activo;Activo;29;0000;21;S;https://nominatim.openstreetmap.org/search.php?q=-34.6260366+-58.5545133;"-34.6260366 -58.5545133";https://google.com/maps/?q=-34.6260366,-58.5545133;"[Sin referencia]";2551;412
AH650MQ;"2026-04-20 00:37:34";"2026-04-20 00:37:36";00:00:02;0;"En movimiento";Posición;"Sin responsable";"NO LOG";29229176;Activo;Activo;28;0000;19;S;https://nominatim.openstreetmap.org/search.php?q=-34.6260366+-58.5545133;"-34.6260366 -58.5545133";https://google.com/maps/?q=-34.6260366,-58.5545133;"[Sin referencia]";2568;412
AH650MQ;"2026-04-20 00:45:54";"2026-04-20 00:46:11";00:00:17;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";29229176;Activo;Activo;29;0000;22;S;https://nominatim.openstreetmap.org/search.php?q=-34.6260366+-58.5545133;"-34.6260366 -58.5545133";https://google.com/maps/?q=-34.6260366,-58.5545133;"[Sin referencia]";2580;412
AH650MQ;"2026-04-20 00:55:54";"2026-04-20 00:56:11";00:00:17;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";29229176;Activo;Activo;28;0000;18;S;https://nominatim.openstreetmap.org/search.php?q=-34.6260366+-58.5545133;"-34.6260366 -58.5545133";https://google.com/maps/?q=-34.6260366,-58.5545133;"[Sin referencia]";2580;412
AH650MQ;"2026-04-20 01:05:54";"2026-04-20 01:06:08";00:00:14;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";29229176;Activo;Activo;29;0000;21;S;https://nominatim.openstreetmap.org/search.php?q=-34.6260366+-58.5545133;"-34.6260366 -58.5545133";https://google.com/maps/?q=-34.6260366,-58.5545133;"[Sin referencia]";2572;412
AH650MQ;"2026-04-20 01:15:54";"2026-04-20 01:16:06";00:00:12;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";29229176;Activo;Activo;29;0000;20;S;https://nominatim.openstreetmap.org/search.php?q=-34.6260366+-58.5545133;"-34.6260366 -58.5545133";https://google.com/maps/?q=-34.6260366,-58.5545133;"[Sin referencia]";2580;412
AH650MQ;"2026-04-20 01:25:54";"2026-04-20 01:26:02";00:00:08;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";29229176;Activo;Activo;29;0000;22;S;https://nominatim.openstreetmap.org/search.php?q=-34.6260366+-58.5545133;"-34.6260366 -58.5545133";https://google.com/maps/?q=-34.6260366,-58.5545133;"[Sin referencia]";2580;412
AH650MQ;"2026-04-20 01:35:54";"2026-04-20 01:36:01";00:00:07;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";29229176;Activo;Activo;28;0000;20;S;https://nominatim.openstreetmap.org/search.php?q=-34.6260366+-58.5545133;"-34.6260366 -58.5545133";https://google.com/maps/?q=-34.6260366,-58.5545133;"[Sin referencia]";2579;412
AH650MQ;"2026-04-20 01:45:54";"2026-04-20 01:45:59";00:00:05;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";29229176;Activo;Activo;29;0000;17;S;https://nominatim.openstreetmap.org/search.php?q=-34.6260366+-58.5545133;"-34.6260366 -58.5545133";https://google.com/maps/?q=-34.6260366,-58.5545133;"[Sin referencia]";2578;412
AH650MQ;"2026-04-20 01:55:55";"2026-04-20 01:56:27";00:00:32;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";29229176;Activo;Activo;28;0000;21;S;https://nominatim.openstreetmap.org/search.php?q=-34.6260366+-58.5545133;"-34.6260366 -58.5545133";https://google.com/maps/?q=-34.6260366,-58.5545133;"[Sin referencia]";2577;412
AH650MQ;"2026-04-20 02:05:54";"2026-04-20 02:06:25";00:00:31;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";29229176;Activo;Activo;29;0000;24;S;https://nominatim.openstreetmap.org/search.php?q=-34.6260366+-58.5545133;"-34.6260366 -58.5545133";https://google.com/maps/?q=-34.6260366,-58.5545133;"[Sin referencia]";2577;412
AH650MQ;"2026-04-20 02:15:54";"2026-04-20 02:16:21";00:00:27;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";29229176;Activo;Activo;28;0000;21;S;https://nominatim.openstreetmap.org/search.php?q=-34.6260366+-58.5545133;"-34.6260366 -58.5545133";https://google.com/maps/?q=-34.6260366,-58.5545133;"[Sin referencia]";2576;412
AH650MQ;"2026-04-20 02:25:54";"2026-04-20 02:26:19";00:00:25;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";29229176;Activo;Activo;28;0000;23;S;https://nominatim.openstreetmap.org/search.php?q=-34.6260366+-58.5545133;"-34.6260366 -58.5545133";https://google.com/maps/?q=-34.6260366,-58.5545133;"[Sin referencia]";2576;412
AH650MQ;"2026-04-20 02:35:54";"2026-04-20 02:36:14";00:00:20;0;"Posición por tiempo";Posición;"Sin responsable";"NO LOG";29229176;Activo;Activo;28;0000;26;S;https://nominatim.openstreetmap.org/search.php?q=-34.6260366+-58.5545133;"-34.6260366 -58.5545133";https://google.com/maps/?q=-34.6260366,-58.5545133;"[Sin referencia]";2574;412
