
sep=;
Interno;Fecha;Comunicación;Diferencia;Velocidad;Evento;Tipo;Responsable;Chofer;Odómetro;"Estado GPS";"Estado GPRS";"Señal GSM";Edad;Satélites;Rumbo;Ubicación;Coordenadas;Mapa;Referencia;Bateria;"Bateria Backup"
829;"2026-04-20 00:39:37";"2026-04-20 00:38:35";00:01:02;0;Posición;Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;FF;0;SSE;https://nominatim.openstreetmap.org/search.php?q=-34.6859+-58.5038;"-34.6859 -58.5038";https://google.com/maps/?q=-34.6859,-58.5038;"[Sin referencia]";0;0
829;"2026-04-20 01:39:00";"2026-04-20 01:37:58";00:01:02;0;Posición;Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;FF;0;SO;https://nominatim.openstreetmap.org/search.php?q=-34.68592+-58.50387;"-34.68592 -58.50387";https://google.com/maps/?q=-34.68592,-58.50387;"[Sin referencia]";0;0
829;"2026-04-20 02:37:03";"2026-04-20 02:37:04";00:00:01;0;Posición;Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;00;0;NNE;https://nominatim.openstreetmap.org/search.php?q=-34.68592+-58.50378;"-34.68592 -58.50378";https://google.com/maps/?q=-34.68592,-58.50378;"[Sin referencia]";0;0
829;"2026-04-20 03:36:10";"2026-04-20 03:36:11";00:00:01;0;Posición;Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;00;0;SO;https://nominatim.openstreetmap.org/search.php?q=-34.68582+-58.50378;"-34.68582 -58.50378";https://google.com/maps/?q=-34.68582,-58.50378;"[Sin referencia]";0;0
829;"2026-04-20 04:36:03";"2026-04-20 04:35:04";00:00:59;0;Posición;Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;FF;0;SO;https://nominatim.openstreetmap.org/search.php?q=-34.68593+-58.50384;"-34.68593 -58.50384";https://google.com/maps/?q=-34.68593,-58.50384;"[Sin referencia]";0;0
829;"2026-04-20 05:26:17";"2026-04-20 05:25:49";00:00:28;0;"Motor encendido";Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;FF;0;OSO;https://nominatim.openstreetmap.org/search.php?q=-34.68597+-58.50385;"-34.68597 -58.50385";https://google.com/maps/?q=-34.68597,-58.50385;"[Sin referencia]";0;0
829;"2026-04-20 05:26:40";"2026-04-20 05:25:50";00:00:50;0;Posición;Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;FF;0;OSO;https://nominatim.openstreetmap.org/search.php?q=-34.68597+-58.50385;"-34.68597 -58.50385";https://google.com/maps/?q=-34.68597,-58.50385;"[Sin referencia]";0;0
829;"2026-04-20 05:27:41";"2026-04-20 05:27:42";00:00:01;0;"Motor apagado";Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;00;0;NNO;https://nominatim.openstreetmap.org/search.php?q=-34.68594+-58.5038;"-34.68594 -58.5038";https://google.com/maps/?q=-34.68594,-58.5038;"[Sin referencia]";0;0
829;"2026-04-20 05:45:08";"2026-04-20 05:45:09";00:00:01;0;"Motor encendido";Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;00;0;NNO;https://nominatim.openstreetmap.org/search.php?q=-34.68592+-58.50381;"-34.68592 -58.50381";https://google.com/maps/?q=-34.68592,-58.50381;"[Sin referencia]";0;0
829;"2026-04-20 05:46:50";"2026-04-20 05:47:15";00:00:25;0;"Motor apagado";Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.68593+-58.50382;"-34.68593 -58.50382";https://google.com/maps/?q=-34.68593,-58.50382;"[Sin referencia]";0;0
829;"2026-04-20 05:46:50";"2026-04-20 05:47:15";00:00:25;0;Posición;Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;00;0;NNO;https://nominatim.openstreetmap.org/search.php?q=-34.68593+-58.50382;"-34.68593 -58.50382";https://google.com/maps/?q=-34.68593,-58.50382;"[Sin referencia]";0;0
829;"2026-04-20 05:47:15";"2026-04-20 05:47:16";00:00:01;0;Posición;Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;00;0;NNO;https://nominatim.openstreetmap.org/search.php?q=-34.68593+-58.50382;"-34.68593 -58.50382";https://google.com/maps/?q=-34.68593,-58.50382;"[Sin referencia]";0;0
829;"2026-04-20 05:57:47";"2026-04-20 05:57:48";00:00:01;0;"Motor apagado";Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;00;0;SO;https://nominatim.openstreetmap.org/search.php?q=-34.6857+-58.50371;"-34.6857 -58.50371";https://google.com/maps/?q=-34.6857,-58.50371;"[Sin referencia]";0;0
829;"2026-04-20 05:57:48";"2026-04-20 05:57:48";00:00:00;0;"Motor apagado";Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.6857+-58.50371;"-34.6857 -58.50371";https://google.com/maps/?q=-34.6857,-58.50371;"[Sin referencia]";0;0
829;"2026-04-20 06:18:20";"2026-04-20 06:18:22";00:00:02;0;Posición;Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;00;0;SO;https://nominatim.openstreetmap.org/search.php?q=-34.68585+-58.50377;"-34.68585 -58.50377";https://google.com/maps/?q=-34.68585,-58.50377;"[Sin referencia]";0;0
829;"2026-04-20 06:34:56";"2026-04-20 06:34:58";00:00:02;0;"Motor encendido";Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;00;0;NE;https://nominatim.openstreetmap.org/search.php?q=-34.68584+-58.50376;"-34.68584 -58.50376";https://google.com/maps/?q=-34.68584,-58.50376;"[Sin referencia]";0;0
829;"2026-04-20 06:39:43";"2026-04-20 06:39:44";00:00:01;18;Posición;Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;00;0;SO;https://nominatim.openstreetmap.org/search.php?q=-34.68481+-58.50548;"-34.68481 -58.50548";https://google.com/maps/?q=-34.68481,-58.50548;"[Sin referencia]";0;0
829;"2026-04-20 06:41:20";"2026-04-20 06:42:46";00:01:26;12;Posición;Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;00;0;ONO;https://nominatim.openstreetmap.org/search.php?q=-34.68969+-58.50964;"-34.68969 -58.50964";https://google.com/maps/?q=-34.68969,-58.50964;"[Sin referencia]";0;0
829;"2026-04-20 06:43:33";"2026-04-20 06:43:36";00:00:03;33;Posición;Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;00;0;NO;https://nominatim.openstreetmap.org/search.php?q=-34.6885+-58.51137;"-34.6885 -58.51137";https://google.com/maps/?q=-34.6885,-58.51137;"[Sin referencia]";0;0
829;"2026-04-20 06:44:25";"2026-04-20 06:44:27";00:00:02;14;Posición;Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;00;0;SO;https://nominatim.openstreetmap.org/search.php?q=-34.68557+-58.51517;"-34.68557 -58.51517";https://google.com/maps/?q=-34.68557,-58.51517;"[Sin referencia]";0;0
829;"2026-04-20 06:45:26";"2026-04-20 06:45:27";00:00:01;14;Posición;Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;00;0;SSE;https://nominatim.openstreetmap.org/search.php?q=-34.68839+-58.5179;"-34.68839 -58.5179";https://google.com/maps/?q=-34.68839,-58.5179;"[Sin referencia]";0;0
829;"2026-04-20 06:46:50";"2026-04-20 06:46:51";00:00:01;0;Posición;Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;00;0;NO;https://nominatim.openstreetmap.org/search.php?q=-34.68859+-58.51758;"-34.68859 -58.51758";https://google.com/maps/?q=-34.68859,-58.51758;"[Sin referencia]";0;0
829;"2026-04-20 06:46:50";"2026-04-20 06:46:51";00:00:01;0;"Motor apagado";Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.68859+-58.51758;"-34.68859 -58.51758";https://google.com/maps/?q=-34.68859,-58.51758;"[Sin referencia]";0;0
829;"2026-04-20 06:47:25";"2026-04-20 06:47:26";00:00:01;0;"Motor apagado";Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;00;0;NO;https://nominatim.openstreetmap.org/search.php?q=-34.68859+-58.51758;"-34.68859 -58.51758";https://google.com/maps/?q=-34.68859,-58.51758;"[Sin referencia]";0;0
829;"2026-04-20 07:07:57";"2026-04-20 07:08:21";00:00:24;0;Posición;Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;00;0;NO;https://nominatim.openstreetmap.org/search.php?q=-34.68858+-58.5176;"-34.68858 -58.5176";https://google.com/maps/?q=-34.68858,-58.5176;"[Sin referencia]";0;0
829;"2026-04-20 07:08:19";"2026-04-20 07:08:29";00:00:10;0;Posición;Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;00;0;NO;https://nominatim.openstreetmap.org/search.php?q=-34.68858+-58.5176;"-34.68858 -58.5176";https://google.com/maps/?q=-34.68858,-58.5176;"[Sin referencia]";0;0
829;"2026-04-20 07:08:23";"2026-04-20 07:08:32";00:00:09;0;Posición;Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;00;0;NO;https://nominatim.openstreetmap.org/search.php?q=-34.68858+-58.5176;"-34.68858 -58.5176";https://google.com/maps/?q=-34.68858,-58.5176;"[Sin referencia]";0;0
829;"2026-04-20 07:08:28";"2026-04-20 07:08:33";00:00:05;0;Posición;Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;00;0;NO;https://nominatim.openstreetmap.org/search.php?q=-34.68858+-58.5176;"-34.68858 -58.5176";https://google.com/maps/?q=-34.68858,-58.5176;"[Sin referencia]";0;0
829;"2026-04-20 07:29:04";"2026-04-20 07:29:05";00:00:01;0;Posición;Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;00;0;NO;https://nominatim.openstreetmap.org/search.php?q=-34.68857+-58.51762;"-34.68857 -58.51762";https://google.com/maps/?q=-34.68857,-58.51762;"[Sin referencia]";0;0
829;"2026-04-20 07:49:37";"2026-04-20 07:49:37";00:00:00;0;Posición;Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;82;0;NO;https://nominatim.openstreetmap.org/search.php?q=-34.68855+-58.51763;"-34.68855 -58.51763";https://google.com/maps/?q=-34.68855,-58.51763;"[Sin referencia]";0;0
829;"2026-04-20 08:02:25";"2026-04-20 08:02:27";00:00:02;0;"Motor encendido";Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;FF;0;NO;https://nominatim.openstreetmap.org/search.php?q=-34.68855+-58.51763;"-34.68855 -58.51763";https://google.com/maps/?q=-34.68855,-58.51763;"[Sin referencia]";0;0
829;"2026-04-20 08:10:18";"2026-04-20 08:10:30";00:00:12;0;"Motor apagado";Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;00;0;NNE;https://nominatim.openstreetmap.org/search.php?q=-34.68855+-58.51763;"-34.68855 -58.51763";https://google.com/maps/?q=-34.68855,-58.51763;"[Sin referencia]";0;0
829;"2026-04-20 08:10:19";"2026-04-20 08:10:21";00:00:02;0;"Motor apagado";Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;0000;0;N;https://nominatim.openstreetmap.org/search.php?q=-34.68855+-58.51763;"-34.68855 -58.51763";https://google.com/maps/?q=-34.68855,-58.51763;"[Sin referencia]";0;0
829;"2026-04-20 08:31:02";"2026-04-20 08:31:14";00:00:12;0;Posición;Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;00;0;NNE;https://nominatim.openstreetmap.org/search.php?q=-34.68855+-58.51761;"-34.68855 -58.51761";https://google.com/maps/?q=-34.68855,-58.51761;"[Sin referencia]";0;0
829;"2026-04-20 08:36:07";"2026-04-20 08:36:09";00:00:02;7;"Motor encendido";Posición;"Sin responsable";"NO LOG";0;Activo;Activo;0;00;0;SE;https://nominatim.openstreetmap.org/search.php?q=-34.68881+-58.51726;"-34.68881 -58.51726";https://google.com/maps/?q=-34.68881,-58.51726;"[Sin referencia]";0;0
