
sep=;
Interno;Fecha;Comunicación;Diferencia;Velocidad;Evento;Tipo;Responsable;Chofer;Odómetro;"Estado GPS";"Estado GPRS";"Señal GSM";Edad;Satélites;Rumbo;Ubicación;Coordenadas;Mapa;Referencia;Bateria;"Bateria Backup"
NDD000;"2026-04-24 10:35:28";"2026-04-24 10:35:30";00:00:02;0;"Batería secundaria baja";Batería;"Sin responsable";"NO LOG";0;Activo;Activo;25;0000;11;E;https://nominatim.openstreetmap.org/search.php?q=-34.62238+-58.48136;"-34.62238 -58.48136";https://google.com/maps/?q=-34.62238,-58.48136;"[Sin referencia]";2553;372
NDD000;"2026-04-24 10:36:29";"2026-04-24 10:36:29";00:00:00;0;"Batería secundaria baja";Batería;"Sin responsable";"NO LOG";0;Activo;Activo;29;0000;11;SSO;https://nominatim.openstreetmap.org/search.php?q=-34.62236+-58.48134;"-34.62236 -58.48134";https://google.com/maps/?q=-34.62236,-58.48134;"[Sin referencia]";2553;373
NDD000;"2026-04-24 10:37:30";"2026-04-24 10:37:30";00:00:00;0;"Batería secundaria baja";Batería;"Sin responsable";"NO LOG";0;Activo;Activo;29;0000;10;SSO;https://nominatim.openstreetmap.org/search.php?q=-34.62237+-58.48129;"-34.62237 -58.48129";https://google.com/maps/?q=-34.62237,-58.48129;"[Sin referencia]";2553;373
NDD000;"2026-04-24 10:38:31";"2026-04-24 10:38:31";00:00:00;0;"Batería secundaria baja";Batería;"Sin responsable";"NO LOG";0;Activo;Activo;28;0000;11;SSO;https://nominatim.openstreetmap.org/search.php?q=-34.62238+-58.48129;"-34.62238 -58.48129";https://google.com/maps/?q=-34.62238,-58.48129;"[Sin referencia]";2553;374
NDD000;"2026-04-24 10:38:44";"2026-04-24 10:38:44";00:00:00;0;"Motor encendido";Posición;"Sin responsable";"NO LOG";0;Activo;Activo;28;0000;11;SSO;https://nominatim.openstreetmap.org/search.php?q=-34.62238+-58.48129;"-34.62238 -58.48129";https://google.com/maps/?q=-34.62238,-58.48129;"[Sin referencia]";2444;386
NDD000;"2026-04-24 10:39:20";"2026-04-24 10:39:20";00:00:00;0;"En movimiento";Posición;"Sin responsable";"NO LOG";0;Activo;Activo;28;0000;11;OSO;https://nominatim.openstreetmap.org/search.php?q=-34.62237+-58.48129;"-34.62237 -58.48129";https://google.com/maps/?q=-34.62237,-58.48129;"[Sin referencia]";2815;386
NDD000;"2026-04-24 10:39:21";"2026-04-24 10:39:21";00:00:00;0;"Corte de combustible";Alarma;"Sin responsable";"NO LOG";0;Activo;Activo;28;0000;11;OSO;https://nominatim.openstreetmap.org/search.php?q=-34.62237+-58.48129;"-34.62237 -58.48129";https://google.com/maps/?q=-34.62237,-58.48129;"[Sin referencia]";2812;386
NDD000;"2026-04-24 10:39:32";"2026-04-24 10:39:32";00:00:00;0;"Batería secundaria baja";Batería;"Sin responsable";"NO LOG";0;Activo;Activo;28;0000;11;OSO;https://nominatim.openstreetmap.org/search.php?q=-34.62236+-58.48129;"-34.62236 -58.48129";https://google.com/maps/?q=-34.62236,-58.48129;"[Sin referencia]";2588;375
NDD000;"2026-04-24 10:39:33";"2026-04-24 10:39:33";00:00:00;0;"Habilitación de combustible";Sensores;"Sin responsable";"NO LOG";0;Activo;Activo;28;0000;11;OSO;https://nominatim.openstreetmap.org/search.php?q=-34.62236+-58.48129;"-34.62236 -58.48129";https://google.com/maps/?q=-34.62236,-58.48129;"[Sin referencia]";2583;386
NDD000;"2026-04-24 10:39:42";"2026-04-24 10:39:42";00:00:00;0;"Motor apagado";Posición;"Sin responsable";"NO LOG";0;Activo;Activo;28;0000;11;NNE;https://nominatim.openstreetmap.org/search.php?q=-34.62236+-58.48129;"-34.62236 -58.48129";https://google.com/maps/?q=-34.62236,-58.48129;"[Sin referencia]";2569;386
