
sep=;
Interno;Fecha;Comunicación;Diferencia;Velocidad;Evento;Tipo;Responsable;Chofer;Odómetro;"Estado GPS";"Estado GPRS";"Señal GSM";Edad;Satélites;Rumbo;Ubicación;Coordenadas;Mapa;Referencia;Bateria;"Bateria Backup"
PJC824;"2026-04-20 00:00:09";"2026-04-20 00:01:21";00:01:12;0;"Habilitación de combustible";Sensores;"Sin responsable";"NO LOG";20091082;Inactivo;Inactivo;0;9999;13;SE;https://nominatim.openstreetmap.org/search.php?q=-34.63959+-58.86665;"-34.63959 -58.86665";https://google.com/maps/?q=-34.63959,-58.86665;"[Sin referencia]";1249;414
PJC824;"2026-04-20 00:00:10";"2026-04-20 00:02:06";00:01:56;0;"Puerta de cabina cerrada";Sensores;"Sin responsable";"NO LOG";20091082;Inactivo;Inactivo;23;9999;13;SE;https://nominatim.openstreetmap.org/search.php?q=-34.63959+-58.86665;"-34.63959 -58.86665";https://google.com/maps/?q=-34.63959,-58.86665;"[Sin referencia]";1249;414
PJC824;"2026-04-20 00:00:10";"2026-04-20 00:02:07";00:01:57;0;Desenganche;Sensores;"Sin responsable";"NO LOG";20091082;Inactivo;Inactivo;23;9999;13;SE;https://nominatim.openstreetmap.org/search.php?q=-34.63959+-58.86665;"-34.63959 -58.86665";https://google.com/maps/?q=-34.63959,-58.86665;"[Sin referencia]";1250;413
PJC824;"2026-04-20 00:00:10";"2026-04-20 00:02:08";00:01:58;0;"Debajo 80 km/h";Posición;"Sin responsable";"NO LOG";20091082;Inactivo;Inactivo;23;9999;13;SE;https://nominatim.openstreetmap.org/search.php?q=-34.63959+-58.86665;"-34.63959 -58.86665";https://google.com/maps/?q=-34.63959,-58.86665;"[Sin referencia]";1250;413
PJC824;"2026-04-20 00:00:10";"2026-04-20 00:02:08";00:01:58;0;"Debajo 90 Km/Hs";Posición;"Sin responsable";"NO LOG";20091082;Inactivo;Inactivo;23;9999;13;SE;https://nominatim.openstreetmap.org/search.php?q=-34.63959+-58.86665;"-34.63959 -58.86665";https://google.com/maps/?q=-34.63959,-58.86665;"[Sin referencia]";1250;413
PJC824;"2026-04-20 00:00:10";"2026-04-20 00:02:24";00:02:14;0;"Debajo 110 Km/hs";Posición;"Sin responsable";"NO LOG";20091082;Inactivo;Inactivo;23;9999;13;SE;https://nominatim.openstreetmap.org/search.php?q=-34.63959+-58.86665;"-34.63959 -58.86665";https://google.com/maps/?q=-34.63959,-58.86665;"[Sin referencia]";1250;413
PJC824;"2026-04-20 00:00:18";"2026-04-20 00:02:25";00:02:07;0;"Habilitación de combustible";Sensores;"Sin responsable";"NO LOG";20091082;Inactivo;Inactivo;0;9999;13;SE;https://nominatim.openstreetmap.org/search.php?q=-34.63959+-58.86665;"-34.63959 -58.86665";https://google.com/maps/?q=-34.63959,-58.86665;"[Sin referencia]";1248;413
PJC824;"2026-04-20 00:00:19";"2026-04-20 00:02:25";00:02:06;0;"Puerta de cabina cerrada";Sensores;"Sin responsable";"NO LOG";20091082;Activo;Inactivo;23;9999;13;SE;https://nominatim.openstreetmap.org/search.php?q=-34.63959+-58.86665;"-34.63959 -58.86665";https://google.com/maps/?q=-34.63959,-58.86665;"[Sin referencia]";1249;413
PJC824;"2026-04-20 00:00:19";"2026-04-20 00:02:26";00:02:07;0;Desenganche;Sensores;"Sin responsable";"NO LOG";20091082;Activo;Inactivo;23;9999;13;SE;https://nominatim.openstreetmap.org/search.php?q=-34.63959+-58.86665;"-34.63959 -58.86665";https://google.com/maps/?q=-34.63959,-58.86665;"[Sin referencia]";1249;413
PJC824;"2026-04-20 00:00:19";"2026-04-20 00:02:26";00:02:07;0;"Debajo 80 km/h";Posición;"Sin responsable";"NO LOG";20091082;Activo;Inactivo;23;9999;13;SE;https://nominatim.openstreetmap.org/search.php?q=-34.63959+-58.86665;"-34.63959 -58.86665";https://google.com/maps/?q=-34.63959,-58.86665;"[Sin referencia]";1249;413
PJC824;"2026-04-20 00:00:19";"2026-04-20 00:02:26";00:02:07;0;"Debajo 90 Km/Hs";Posición;"Sin responsable";"NO LOG";20091082;Activo;Inactivo;23;9999;13;SE;https://nominatim.openstreetmap.org/search.php?q=-34.63959+-58.86665;"-34.63959 -58.86665";https://google.com/maps/?q=-34.63959,-58.86665;"[Sin referencia]";1249;413
